,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
39,NA,FMNH396198,396198,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671047,Bernieridae,Cryptosylvicola,randrianasoloi,Y,Antsiranana,-14.02,48.42,Cryptosylvicola_randrianasoloi_FMNH396198_ND3
40,NA,436423,436423,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711148,Cuculidae,Cuculus,poliocephalus,,Toliara,-22.8,43.43,Cuculus_poliocephalus_FMNH436423_ND3
41,NA,MJR0510,MJR0510,UADBA,8/12/24,,Vangidae,Cyanolanius,madagascariensis,Y,,-19.61,44.74,Cyanolanius_madagascariensis_UADBAMJR0510_ND3
42,NA,MJR1262,MJR1262,UADBA,8/12/24,,Dicruridae,Dicrurus,forficatus,N - COMOROS,,-18.25,47.57,Dicrurus_forficatus_UADBAMJR1262_ND3
43,NA,SMG19464,SMG19464,UADBA,8/12/24,,Rallidae,Dryolimnas,cuvieri,N - WEST INDIAN ISLANDS,,-12.82,49.82,Dryolimnas_cuvieri_UADBASMG19464_ND3
44,NA,396138,396138,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1670987,Alaudidae,Eremopterix,hova,Y,Fianarantsoa,NA,NA,Eremopterix_hova_FMNH396138_ND3
45,NA,FMNH356691,356691,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631509,Vangidae,Euryceros,prevostii,Y,Toamasina,-15,49.93,Euryceros_prevostii_FMNH356691_ND3
46,NA,SMG7929,384689,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659541,Coraciidae,Eurystomus,glaucurus,,Toliara,-22.45,44.83,Eurystomus_glaucurus_FMNH384689_ND3
47,NA,FMNH356670,356670,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631488,Vangidae,Falculea,palliata,Y,Toliara,-23,43.62,Falculea_palliata_FMNH356670_ND3
48,NA,MJR1012,MJR1012,UADBA,8/12/24,,Ploceidae,Foudia,madagascariensis,Y,,-20.7,47.15,Foudia_madagascariensis_UADBAMJR1012_ND3
50,NA,MJR0590,MJR0590,UADBA,8/12/24,,Bernieridae,Hartertula,flavoviridis,Y,,-23.74,47.02,Hartertula_flavoviridis_UADBAMJR0590_ND3
51,NA,384699,384699,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659551,Sturnidae,Hartlaubius,auratus,Y,Toliara,-22.68,44.82,Hartlaubius_auratus_FMNH384699_ND3
52,NA,FMNH363833,363833,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1638648,Vangidae,Hypositta,corallirostris,Y,Fianarantsoa,-22,47.02,Hypositta_corallirostris_FMNH363833_ND3
53,NA,MJR1261,MJR1261,UADBA,8/12/24,,Pycnonotidae,Hypsipetes,madagascariensis,N - WEST INDIAN ISLANDS,Toamasina,15.73,49.96,Hypsipetes_madagascariensis_UADBAMJR1261_ND3
54,NA,352980,352980,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627797,Estrildidae,Lepidopygia,nana,Y,Toliara,-25,47,Lepidopygia_nana_FMNH352980_ND3
55,NA,FMNH352880,352880,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627697,Vangidae,Leptopterus,chabert,Y,Toliara,-24,46.52,Leptopterus_chabert_FMNH352880_ND3
56,NA,352778,352778,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627595,Scolopacidae,Limosa,lapponica,,Toliara,NA,NA,Limosa_lapponica_FMNH352778_ND3
57,NA,345600,345600,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1598920,Threskiornithidae,Lophotibis,cristata,Y,Toliara,-24,47.02,Lophotibis_cristata_FMNH345600_ND3
58,NA,431145,431145,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1705874,Rallidae,Mentocrex,beankaensis,Y,Toliara,NA,NA,Mentocrex_beankaensis_FMNH431145_ND3
59,NA,352817,352817,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627634,Meropidae,Merops,superciliosus,,Toliara,-25,47,Merops_superciliosus_FMNH352817_ND3
60,NA,431139,431139,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1705868,Accipitiridae,Milvus,migrans,,Toliara,NA,NA,Milvus_migrans_FMNH431139_ND3
61,NA,429330,429330,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1704059,Muscicapidae,Monticola,imerinus,Y,Mahajanga,-18.68,44.72,Monticola_imerinus_FMNH429330_ND3
62,NA,MJR1263,MJR1263,UADBA,8/12/24,,Muscicapidae,Monticola,sharpei,Y,,-18.25,47.57,Monticola_sharpei_UADBAMJR1263_ND3
63,NA,431196,431196,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1705925,Motacillidae,Motacilla,flaviventris,Y,Toliara,-19.14,44.82,Motacilla_flaviventris_FMNH431196_ND3
64,NA,31203,MJR0610,UADBA,8/12/24,,Vangidae,Mystacornis,crossleyi,Y,,-23.74,47.02,Mystacornis_crossleyi_UADBAMJR0610_ND3
65,NA,DW4798,393232,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668081,Philepittidae,Neodrepanis,coruscans,Y,Antsiranana,-14.54,49.44,Neodrepanis_coruscans_FMNH393232_ND3
66,NA,MJR12,MJR12,UADBA,8/12/24,,Philepittidae,Neodrepanis,hypoxantha,Y,,-14.75,49.42,Neodrepanis_hypoxantha_UADBAMJR12_ND3
67,NA,FMNH435456,436456,FMNH,8/12/24,,Cisticolidae,Neomixis,striatigula,Y,,-22.77,43.52,Neomixis_striatigula_FMNH436456_ND3
68,NA,FMNH396128,396128,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1670977,Cisticolidae,Neomixis,tenella,Y,Fianarantsoa,-22.54,45.38,Neomixis_tenella_FMNH396128_ND3
69,NA,FMNH393344,393344,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668193,Cisticolidae,Neomixis,viridis,Y,Fianarantsoa,-22.16,47.04,Neomixis_viridis_FMNH393344_ND3
70,NA,TPG1583,393401,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668250,Acrocephalidae,Nesillas,typica,Y,Fianarantsoa,-22.15,47.02,Nesillas_typica_FMNH393401_ND3
71,NA,FMNH363856,363856,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1638671,Vangidae,Newtonia,amphichroa,Y,Fianarantsoa,-22,47.02,Newtonia_amphichroa_FMNH363856_ND3
72,NA,FMNH436447,436447,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711172,Vangidae,Newtonia,archboldi,Y,Toliara,-22.8,43.43,Newtonia_archboldi_FMNH436447_ND3
73,NA,FMNH436437,436437,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711162,Vangidae,Newtonia,brunneicauda,Y,Toliara,-22.77,43.52,Newtonia_brunneicauda_FMNH436437_ND3
75,NA,396238,396238,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671087,Columbidae,Oena,capensis,N - SUBSPECIES ENDEMIC,Fianarantsoa,-22.54,45.38,Oena_capensis_FMNH396238_ND3
76,NA,FMNH356684,356684,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631502,Vangidae,Oriolia,bernieri,Y,Toamasina,-15,49.93,Oriolia_bernieri_FMNH356684_ND3
77,NA,MJR1217,MJR1217,UADBA,8/12/24,,Strigidae,Otus,rutilus,Y,,-15.56,50.28,Otus_rutilus_UADBAMJR1217_ND3
78,NA,FMNH396172,396172,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671021,Bernieridae,Oxylabes,madagascariensis,Y,Antsiranana,-14,48.43,Oxylabes_madagascariensis_FMNH396172_ND3
79,NA,436517,436517,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711241,Hirundinidae,Phedina,borbonica,N - WEST INDIAN ISLANDS,Mahajanga,-16.43,45.4,Phedina_borbonica_FMNH436517_ND3
80,NA,MJR1233,MJR1233,UADBA,8/12/24,,Philepittidae,Philepitta,castanea,Y,,-15.56,50.28,Philepitta_castanea_UADBAMJR1233_ND3
81,NA,DW5317,431191,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1705920,Philepittidae,Philepitta,schlegeli,Y,Toliara,-19.13,44.8,Philepitta_schlegeli_FMNH431191_ND3
82,NA,SMG10756,396113,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1670962,Ploceidae,Ploceus,nelicourvi,Y,Antsiranana,-14,48.43,Ploceus_nelicourvi_FMNH396113_ND3
83,NA,SMG4123,352987,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627804,Ploceidae,Ploceus,sakalava,Y,Toliara,-24,46.52,Ploceus_sakalava_FMNH352987_ND3
84,NA,FMNH356702,356702,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631520,Vangidae,Pseudobias,wardi,Y,Toamasina,-18.93,48.42,Pseudobias_wardi_FMNH356702_ND3
85,NA,487452,487452,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/2386917,Pteroclidae,Pterocles,personatus,Y,Mahajanga,-14.75,48.1,Pterocles_personatus_FMNH487452_ND3
86,NA,FMNH479641,479641,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/2146933,Bernieridae,Randia,pseudozosterops,Y,Fianarantsoa,-21.24,47.4,Randia_pseudozosterops_FMNH479641_ND3
87,NA,384801,384801,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659653,Hirundinidae,Riparia,paludicola,,Fianarantsoa,-22.18,46.9,Riparia_paludicola_FMNH384801_ND3
88,NA,393178,393178,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668027,Rostratulidae,Rostratula,benghalensis,,Toamosina,-17.29,49.41,Rostratula_benghalensis_FMNH393178_ND3
89,NA,384729,384729,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659581,Rallidae,Sarothrura,insularis,Y,Antsiranana,-12.58,49.15,Sarothrura_insularis_FMNH384729_ND3
90,NA,TPG1582,393333,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668182,Muscicapidae,Saxicola,torquata,,Fianarantsoa,-22.15,47.02,Saxicola_torquata_FMNH393333_ND3
91,NA,FMNH436519,436519,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711243,Vangidae,Schetba,rufa,Y,Mahajanga,-16.43,45.4,Schetba_rufa_FMNH436519_ND3
92,NA,384663,384663,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659515,Podicipedidae,Tachybaptus,pelzelnii,Y,Toliara,-22.45,44.83,Tachybaptus_pelzelnii_FMNH384663_ND3
94,NA,FMNH436460,436460,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711185,Monarchidae,Terpsiphone,mutata,N - WEST INDIAN ISLANDS,Toliara,-22.77,43.52,Terpsiphone_mutata_FMNH436460_ND3
95,NA,MJR0554,MJR0554,UADBA,8/12/24,,Bernieridae,Thamnornis,chloropetoides,Y,,-20.94,43.87,Thamnornis_chloropetoides_UADBAMJR0554_ND3
96,NA,360039,360039,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1634857,Scolopacidae,Tringa,nebularia,,Toamasina,-18.75,47.52,Tringa_nebularia_FMNH360039_ND3
97,NA,436420,436420,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711145,Turnicidae,Turnix,nigricollis,Y,Toliara,-22.77,43.52,Turnix_nigricollis_FMNH436420_ND3
98,NA,FMNH393163,393163,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668012,Vangidae,Tylas,eduardi,Y,Toliara,-22.68,44.19,Tylas_eduardi_FMNH393163_ND3
100,NA,SMG4096,352820,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668182,Upupidae,Upupa,epops,N - SUBSPECIES ENDEMIC,Fianarantsoa,-22.15,47.02,Upupa_epops_FMNH352820_ND3
101,NA,FMNH434668,434668,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709393,Vangidae,Vanga,curvirostris,Y,Mahajanga,-16.3,46.82,Vanga_curvirostris_FMNH434668_ND3
102,NA,FMNH393162,393162,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668011,Bernieridae,Xanthomixis,apperti,Y,Toliara,-22.68,44.19,Xanthomixis_apperti_FMNH393162_ND3
103,NA,FMNH393287,393287,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668136,Bernieridae,Xanthomixis,cinereiceps,Y,Antsiranana,-14.54,49.43,Xanthomixis_cinereiceps_FMNH393287_ND3
104,NA,FMNH393278,393278,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668127,Bernieridae,Xanthomixis,tenebrosa,Y,Antsiranana,-14.54,49.44,Xanthomixis_tenebrosa_FMNH393278_ND3
105,NA,FMNH384740,384740,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659592,Bernieridae,Xanthomixis,zosterops,Y,Antsiranana,-14.43,49.75,Xanthomixis_zosterops_FMNH384740_ND3
106,NA,FMNH434675,434675,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709400,Vangidae,Xenopirostris,polleni,Y,Fianarantsoa,-21.25,47.42,Xenopirostris_polleni_FMNH434675_ND3
107,NA,FMNH356665,356665,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631483,Vangidae,Xenopirostris,xenopirostris,Y,Toliara,-23,43.62,Xenopirostris_xenopirostris_FMNH356665_ND3
108,NA,MJR1268,MJR1268,UADBA,8/12/24,,Zosteropidae,Zosterops,maderaspatanus,N - WEST INDIAN ISLANDS,,-18.25,47.57,Zosterops_maderaspatanus_UADBAMJR1268_ND3
109,AY590718,BW_449,449,BW,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_AY590718_BW_449_ND3
110,AY590726,BW_416,416,BW,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_AY590726_BW_416_ND3
111,AY590727,FMNH_345775,345775,FMNH,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_AY590727_FMNH_345775_ND3
112,AY590728,O_1799,1799,O,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_AY590728_O_1799_ND3
113,AY590729,BW_437,437,BW,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_AY590729_BW_437_ND3
114,AY590731,BW_417,417,BW,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_AY590731_BW_417_ND3
115,AY590732,FMNH_345776,345776,FMNH,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_AY590732_FMNH_345776_ND3
116,AY998941,FMNH_396164,396164,FMNH,NA,NA,Alcedinidae,Corythornis,madagascariensis,,NA,NA,NA,Corythornis_madagascariensis_AY998941_FMNH_396164_ND3
117,AY998942,FMNH_396052,396052,FMNH,NA,NA,Alcedinidae,Corythornis,madagascariensis,,NA,NA,NA,Corythornis_madagascariensis_AY998942_FMNH_396052_ND3
118,AY998943,FMNH_384757,384757,FMNH,NA,NA,Alcedinidae,Corythornis,madagascariensis,,NA,NA,NA,Corythornis_madagascariensis_AY998943_FMNH_384757_ND3
119,AY998944,FMNH_345682,345682,FMNH,NA,NA,Alcedinidae,Corythornis,madagascariensis,,NA,NA,NA,Corythornis_madagascariensis_AY998944_FMNH_345682_ND3
120,AY998945,FMNH_345680,345680,FMNH,NA,NA,Alcedinidae,Corythornis,madagascariensis,,NA,NA,NA,Corythornis_madagascariensis_AY998945_FMNH_345680_ND3
121,AY998946,FMNH_345684,345684,FMNH,NA,NA,Alcedinidae,Corythornis,madagascariensis,,NA,NA,NA,Corythornis_madagascariensis_AY998946_FMNH_345684_ND3
122,AY998963,UWBM_VGR215,VGR215,UWBM,NA,NA,Alcedinidae,Corythornis,vintsioides,,NA,NA,NA,Corythornis_vintsioides_AY998963_UWBM_VGR215_ND3
123,DQ402251,FMNH_356646,356646,FMNH,NA,NA,Bernieridae,Xanthomixis,zosterops,,NA,NA,NA,Xanthomixis_zosterops_DQ402251_FMNH_356646_ND3
124,DQ402252,FMNH_393278,393278,FMNH,NA,NA,Bernieridae,Xanthomixis,tenebrosa,,NA,NA,NA,Xanthomixis_tenebrosa_DQ402252_FMNH_393278_ND3
125,DQ402253,FMNH_393283,393283,FMNH,NA,NA,Bernieridae,Xanthomixis,cinereiceps,,NA,NA,NA,Xanthomixis_cinereiceps_DQ402253_FMNH_393283_ND3
126,DQ402254,FMNH_393159,393159,FMNH,NA,NA,Bernieridae,Xanthomixis,apperti,,NA,NA,NA,Xanthomixis_apperti_DQ402254_FMNH_393159_ND3
127,DQ402255,CMNH_C37768,C37768,CMNH,NA,NA,Bernieridae,Bernieria,madagascariensis,1789),NA,NA,NA,Bernieria_madagascariensis_DQ402255_CMNH_C37768_ND3
128,DQ402286,FMNH_393308,393308,FMNH,NA,NA,Pycnonotidae,Hypsipetes,madagascariensis,,NA,NA,NA,Hypsipetes_madagascariensis_DQ402286_FMNH_393308_ND3
129,FR823147,FH_17002,17002,FH,NA,NA,Charadriidae,Charadrius,pecuarius,,NA,NA,NA,Charadrius_pecuarius_FR823147_FH_17002_ND3
130,HQ403653,FMNH_215460,215460,FMNH,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403653_FMNH_215460_ND3
131,HQ403654,FMNH_215461,215461,FMNH,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403654_FMNH_215461_ND3
132,HQ403655,FMNH_345622,345622,FMNH,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403655_FMNH_345622_ND3
133,HQ403656,FMNH_404575,404575,FMNH,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403656_FMNH_404575_ND3
134,HQ403657,FMNH_431145,431145,FMNH,NA,NA,Rallidae,Mentocrex,beankaensis,,NA,NA,NA,Mentocrex_beankaensis_HQ403657_FMNH_431145_ND3
135,HQ403658,MNHN_1932.492,1932.492,MNHN,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403658_MNHN_1932.492_ND3
136,HQ403659,MNHN_1932.494,1932.494,MNHN,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403659_MNHN_1932.494_ND3
137,HQ403660,MNHN_1932.501,1932.501,MNHN,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403660_MNHN_1932.501_ND3
138,HQ403661,MNHN_1932.502,1932.502,MNHN,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403661_MNHN_1932.502_ND3
139,HQ403662,UADBA_48178,48178,UADBA,NA,NA,Rallidae,Mentocrex,kioloides,,NA,NA,NA,Mentocrex_kioloides_HQ403662_UADBA_48178_ND3
140,HQ403663,UADBA_48179,48179,UADBA,NA,NA,Rallidae,Mentocrex,beankaensis,,NA,NA,NA,Mentocrex_beankaensis_HQ403663_UADBA_48179_ND3
