"","GB_Acession","Original","Access..No","Museum","Added.to.Database","Website","Family","Genus","Species","Endemic","Locality","Latitude","Longitude","SpecName"
"146","KJ749825","MNZ_S38300","S38300","MNZ",NA,NA,"Aepyornithidae","Mullerornis","agilis",NA,NA,NA,NA,"Mullerornis_agilis_KJ749825_MNZ_S38300_12S"
"147","KY412176","NA_NA",NA,NA,NA,NA,"Aepyornithidae","Aepyornis","sp.",NA,NA,NA,NA,"Aepyornis_sp._KY412176_NA_NA_12S"
"148","MN196537","NA_NA",NA,NA,NA,NA,"Threskiornithidae","Threskiornis","aethiopicus",NA,NA,NA,NA,"Threskiornis_aethiopicus_MN196537_NA_NA_12S"
"149","MW574377","FMNH_384730","384730","FMNH",NA,NA,"Phasianidae","Margaroperdix","madagarensis",NA,NA,NA,NA,"Margaroperdix_madagarensis_MW574377_FMNH_384730_12S"
"150","OP413807","_AD1664","AD1664","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413807__AD1664_12S"
"151","OP413809","_AD1662","AD1662","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413809__AD1662_12S"
"152","OP413801","_AD2135","AD2135","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413801__AD2135_12S"
"153","OP413800","_AD2409","AD2409","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413800__AD2409_12S"
"154","OP413803","_AD1670","AD1670","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413803__AD1670_12S"
"155","OP413795","_AD276","AD276","",NA,NA,"Aepyornithidae","Mullerornis","modestus",NA,NA,NA,NA,"Mullerornis_modestus_OP413795__AD276_12S"
"156","OP413798","_AD1293","AD1293","",NA,NA,"Aepyornithidae","Aepyornis","sp.",NA,NA,NA,NA,"Aepyornis_sp._OP413798__AD1293_12S"
"157","OP413799","_AD1288","AD1288","",NA,NA,"Aepyornithidae","Aepyornis","sp.",NA,NA,NA,NA,"Aepyornis_sp._OP413799__AD1288_12S"
"158","OP413790","_AD2127","AD2127","",NA,NA,"Aepyornithidae","Mullerornis","modestus",NA,NA,NA,NA,"Mullerornis_modestus_OP413790__AD2127_12S"
"159","OP413793","_AD2110","AD2110","",NA,NA,"Aepyornithidae","Mullerornis","modestus",NA,NA,NA,NA,"Mullerornis_modestus_OP413793__AD2110_12S"
"160","OP413806","_AD1665","AD1665","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413806__AD1665_12S"
"161","OP413796","_AD2139","AD2139","",NA,NA,"Aepyornithidae","Aepyornis","sp.",NA,NA,NA,NA,"Aepyornis_sp._OP413796__AD2139_12S"
"162","OP413791","_AD2125","AD2125","",NA,NA,"Aepyornithidae","Mullerornis","modestus",NA,NA,NA,NA,"Mullerornis_modestus_OP413791__AD2125_12S"
"163","OP413792","_AD2113","AD2113","",NA,NA,"Aepyornithidae","Mullerornis","modestus",NA,NA,NA,NA,"Mullerornis_modestus_OP413792__AD2113_12S"
"164","OP413805","_AD1666","AD1666","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413805__AD1666_12S"
"165","OP413797","_AD2137","AD2137","",NA,NA,"Aepyornithidae","Aepyornis","sp.",NA,NA,NA,NA,"Aepyornis_sp._OP413797__AD2137_12S"
"166","OP413802","_AD1739","AD1739","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413802__AD1739_12S"
"168","OP413810","_AD2667","AD2667","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413810__AD2667_12S"
"170","OP413804","_AD1669","AD1669","",NA,NA,"Aepyornithidae","Aepyornis","maximus",NA,NA,NA,NA,"Aepyornis_maximus_OP413804__AD1669_12S"
